,pv,wind,demand_el,demand_th
202,0.14,0.157,97.5,347.948973192223
203,0.156,0.155,100.425,569.7284912097242
204,0.17,0.155,105.3,484.20559281322437
205,0.11,0.145,113.10000000000001,378.19127901584955
206,0.03,0.156,116.025,551.8625336149744
207,0.0,0.169,111.15,492.76479201147424
208,0.0,0.152,117.97500000000001,486.3570193948482
209,0.0,0.119,120.9,412.56062838172227
210,0.0,0.096,120.9,620.9651035712216
211,0.0,0.083,127.72500000000001,535.4152981703465
212,0.0,0.076,121.875,550.9417675799722
213,0.0,0.074,122.85000000000001,361.78381281322436
214,0.0,0.071,120.9,602.5272362753534
215,0.0,0.058,113.10000000000001,369.96195636285927
216,0.0,0.044,110.175,415.35905540900467
217,0.0,0.034,108.22500000000001,533.4011662343883
218,0.0,0.035,103.35000000000001,506.60443146366134
219,0.0,0.041,102.375,528.7091526558821
220,0.0,0.047,105.3,512.3335202695969
221,0.0,0.057,102.375,541.446998431724
222,0.0,0.07,102.375,535.8067887985611
223,0.017,0.088,104.325,635.6432481565961
224,0.14,0.094,96.525,600.1678124687763
225,0.328,0.082,96.525,458.1732369643753
226,0.529,0.074,97.5,577.1489613682648
227,0.581,0.077,102.375,417.58265045117184
228,0.53,0.075,105.3,519.1016602677535
229,0.39,0.078,106.275,512.4473751301896
230,0.156,0.098,108.22500000000001,433.88120017604405
231,0.0,0.132,107.25,607.2356903594626
232,0.0,0.16,117.0,464.9670662307009
233,0.0,0.185,127.72500000000001,614.2061919185205
234,0.0,0.202,126.75,532.1861324687762
235,0.0,0.207,126.75,685.633117514631
236,0.0,0.224,130.65,441.87014201022987
237,0.0,0.241,126.75,644.0231002677533
238,0.0,0.249,117.0,587.9668220120734
239,0.0,0.251,115.05,433.08410742660897
240,0.0,0.249,113.10000000000001,535.5456631835397
241,0.0,0.243,109.2,466.0345306066433
242,0.0,0.254,108.22500000000001,504.79055085185894
243,0.0,0.261,104.325,586.996614409618
244,0.0,0.282,107.25,560.5605417703516
245,0.0,0.29,131.625,711.1683907228552
246,0.0,0.303,230.1,774.1520753238468
247,0.008,0.31,221.32500000000002,676.6163202324238
248,0.049,0.278,203.775,865.6293289439758
249,0.054,0.259,219.375,665.3901384535443
250,0.061,0.278,204.75,833.6803792515612
251,0.323,0.31,210.6,596.31726876113
252,0.372,0.394,224.25,516.6126313380264
253,0.202,0.395,212.55,835.2709767370349
254,0.055,0.419,172.57500000000002,454.11681238125885
255,0.0,0.458,158.925,809.9016539149227
256,0.0,0.494,139.425,503.79408593901786
257,0.0,0.525,143.32500000000002,729.1627164294492
258,0.0,0.547,145.275,471.8136394967769
259,0.0,0.565,141.375,529.0595794967769
260,0.0,0.578,129.675,515.8874590063456
261,0.0,0.58,131.625,301.97679624660344
262,0.0,0.582,119.925,432.7230986406541
263,0.0,0.586,114.075,476.9460639191866
264,0.0,0.663,109.2,425.59688747173243
265,0.0,0.626,105.3,454.3515878645429
266,0.0,0.633,105.3,481.25021070825204
267,0.0,0.657,105.3,477.2747916902782
268,0.0,0.684,107.25,574.5260864980397
269,0.0,0.716,144.3,817.3762000416673
270,0.0,0.755,222.3,679.3862879835792
271,0.0,0.75,188.175,796.5394743542491
272,0.008,0.697,236.925,580.1121845506543
273,0.022,0.618,220.35,847.7982688632361
274,0.043,0.457,206.70000000000002,589.1789029794123
275,0.052,0.416,221.32500000000002,795.8695572919942
276,0.045,0.347,226.20000000000002,456.37536689918363
277,0.033,0.3,212.55,686.235478957272
278,0.015,0.334,171.6,714.3166338590694
279,0.0,0.369,159.9,400.81857650637323
280,0.0,0.401,142.35,683.1341248410954
281,0.0,0.433,145.275,721.6928405285138
282,0.0,0.456,146.25,513.0495758231217
283,0.0,0.528,141.375,598.3474358231216
284,0.0,0.519,136.5,462.9102901357033
285,0.0,0.425,133.57500000000002,345.58807326985345
286,0.0,0.386,125.775,465.8597056183829
287,0.0,0.436,123.825,463.8374160028599
288,0.0,0.442,117.97500000000001,453.126641728218
289,0.0,0.476,113.10000000000001,443.7327470331486
290,0.0,0.484,110.175,468.072679685614
291,0.0,0.544,109.2,428.19478106510167
292,0.0,0.558,114.075,586.5716545404488
293,0.0,0.535,131.625,842.107595895881
294,0.0,0.502,165.75,695.8930186016014
295,0.003,0.498,209.625,587.0167617041627
296,0.042,0.479,236.925,819.4026216509075
297,0.09,0.484,239.85,684.9907542501178
298,0.116,0.591,214.5,712.4109528173751
299,0.11,0.611,210.6,560.8551141968627
300,0.097,0.651,243.75,670.7816914911423
301,0.072,0.684,234.975,582.6077641436077
302,0.024,0.72,196.95000000000002,739.0065534804914
303,0.0,0.754,180.375,681.1911441968628
304,0.0,0.791,161.85,510.4854675656996
305,0.0,0.828,148.20000000000002,765.4301343033728
306,0.0,0.82,155.025,460.67105629272197
307,0.0,0.751,148.20000000000002,601.099218335326
308,0.0,0.719,138.45000000000002,448.43258430337295
309,0.0,0.757,137.475,350.7690395550484
310,0.0,0.782,126.75,496.5884581755607
311,0.0,0.8,121.875,475.77827382407713
312,0.0,0.812,114.075,552.0561018602665
313,0.0,0.814,113.10000000000001,437.0708101048079
314,0.0,0.799,109.2,505.9065742270786
315,0.0,0.751,111.15,536.6162008296989
316,0.0,0.664,113.10000000000001,536.558489606992
317,0.0,0.552,132.6,783.0944596768638
318,0.0,0.479,139.425,760.6358583406195
319,0.003,0.388,243.75,616.275555327518
320,0.058,0.278,245.70000000000002,840.736350786033
321,0.135,0.186,263.25,521.9410203668189
322,0.206,0.146,211.57500000000002,784.5089792227136
323,0.255,0.148,234.0,616.9937858253339
324,0.282,0.119,208.65,775.8458571615784
325,0.172,0.097,229.125,559.081291283849
326,0.066,0.102,183.3,767.4192802532813
327,0.0,0.12,164.775,571.2198758253339
328,0.0,0.133,145.275,616.115695519657
329,0.0,0.139,147.225,559.2090449083038
330,0.0,0.137,154.05,584.9758080000069
331,0.0,0.129,145.275,559.3771556331948
332,0.0,0.122,134.55,365.4610949083038
333,0.0,0.122,132.6,406.1189986113602
334,0.0,0.126,130.65,429.4274620087399
335,0.0,0.133,120.9,548.9178640349393
336,0.0,0.139,120.9,453.3579698442776
337,0.0,0.138,113.10000000000001,470.3379657681765
338,0.0,0.138,112.125,530.126073730126
339,0.0,0.137,112.125,490.68105285379016
340,0.0,0.142,113.10000000000001,533.6525332342956
341,0.0,0.14,134.55,797.9885570797464
342,0.0,0.138,185.25,739.5889201843855
343,0.009,0.132,224.25,683.0078145660642
344,0.081,0.131,229.125,731.9559494233748
345,0.153,0.114,242.775,650.7115522426346
346,0.19,0.133,201.82500000000002,738.277697976281
347,0.192,0.157,214.5,567.3469970999452
348,0.178,0.169,230.1,748.1603139953062
349,0.104,0.155,192.07500000000002,504.6180019572557
350,0.037,0.157,151.125,773.1175149667682
351,0.0,0.171,130.65,568.1748170999451
352,0.0,0.176,135.525,630.7487771950716
353,0.0,0.175,137.475,591.0195773853242
354,0.0,0.164,137.475,557.8949183567863
355,0.0,0.157,127.72500000000001,548.2806744709379
356,0.0,0.141,131.625,458.2751573853242
357,0.0,0.126,129.675,640.0527281665336
358,0.0,0.119,121.875,497.33117904286945
359,0.0,0.124,122.85000000000001,554.7560111011187
360,0.0,0.133,114.075,563.2202900789008
361,0.0,0.143,113.10000000000001,319.4310743333544
362,0.0,0.15,108.22500000000001,445.20743055600127
363,0.0,0.139,107.25,544.4754811921351
364,0.0,0.115,108.22500000000001,429.3856186870499
365,0.0,0.1,107.25,532.029706221415
366,0.0,0.105,107.25,558.8017185076753
367,0.012,0.116,106.275,615.1876237761213
368,0.104,0.112,97.5,573.479775903348
369,0.211,0.101,97.5,554.4545734580543
370,0.295,0.097,99.45,566.3925688855338
371,0.288,0.095,108.22500000000001,485.52629644024
372,0.257,0.088,109.2,545.4852021857865
373,0.163,0.086,106.275,499.7332698995263
374,0.05,0.094,103.35000000000001,464.75308383591283
375,0.0,0.111,107.25,569.5692079313329
376,0.0,0.104,115.05,521.9967144720467
377,0.0,0.086,125.775,497.74847691734055
378,0.0,0.082,134.55,638.9956651081806
379,0.0,0.108,127.72500000000001,515.7371551081806
380,0.0,0.154,117.97500000000001,541.2352226628869
381,0.0,0.177,122.85000000000001,558.5976674542325
382,0.0,0.156,117.0,548.7470937366709
383,0.0,0.131,117.97500000000001,385.3065087468415
384,0.0,0.11,112.125,466.6592145629278
385,0.0,0.098,110.175,521.257761714516
386,0.0,0.086,106.275,530.3103517221558
387,0.0,0.073,106.275,506.63529460112653
388,0.0,0.062,108.22500000000001,533.9364303667077
389,0.0,0.059,105.3,563.4928034137527
390,0.0,0.062,105.3,549.4418877092895
391,0.01,0.067,105.3,744.0174433984732
392,0.072,0.065,96.525,588.5244219742673
393,0.153,0.054,98.47500000000001,638.8051119589878
394,0.232,0.047,100.425,556.4707333679141
395,0.273,0.044,104.325,509.4679933526348
396,0.237,0.041,107.25,542.6758762010464
397,0.165,0.038,111.15,462.3480219055096
398,0.067,0.045,106.275,488.3829176176125
399,0.0,0.062,109.2,584.5337490494582
400,0.0,0.087,114.075,527.3751304965833
401,0.0,0.113,127.72500000000001,574.7917805118627
402,0.0,0.133,127.72500000000001,601.8202333755539
403,0.0,0.141,123.825,557.710063375554
404,0.0,0.126,118.95,581.6195833602744
405,0.0,0.099,121.875,540.2675318902301
406,0.0,0.089,115.05,520.3851561170093
407,0.0,0.103,114.075,400.723684585847
408,0.0,0.158,108.22500000000001,501.2682600291431
409,0.0,0.224,107.25,450.3248714473838
410,0.0,0.286,104.325,520.7838851883445
411,0.0,0.311,103.35000000000001,596.4531287339463
412,0.0,0.297,106.275,500.0032495661107
413,0.0,0.303,124.80000000000001,754.7064754128464
414,0.0,0.311,156.975,739.8044345083673
415,0.004,0.288,206.70000000000002,702.4056879309252
416,0.052,0.263,264.225,780.5828086400456
417,0.117,0.258,247.65,674.2720311581242
418,0.16,0.251,227.175,729.1974529670825
419,0.134,0.301,223.275,615.4792254851612
420,0.092,0.303,235.95000000000002,698.5374940669207
421,0.054,0.32,230.1,551.0798949713998
422,0.017,0.373,194.025,724.6604796168396
423,0.0,0.391,165.75,559.4913326486799
424,0.0,0.377,153.07500000000002,605.3319431624413
425,0.0,0.404,146.25,601.2154206443628
426,0.0,0.447,143.32500000000002,566.4015767080433
427,0.0,0.404,143.32500000000002,529.2776567080432
428,0.0,0.421,134.55,448.097129226122
429,0.0,0.435,128.70000000000002,294.7174274894785
430,0.0,0.463,125.775,397.3399629163536
431,0.0,0.468,119.925,469.0758712520252
432,0.0,0.433,114.075,408.14785464758626
433,0.0,0.43,112.125,418.3402055813685
434,0.0,0.407,110.175,411.8605138984279
435,0.0,0.344,106.275,513.4024162328836
436,0.0,0.311,112.125,468.82011921885424
437,0.0,0.355,129.675,860.789444528618
438,0.0,0.407,168.675,644.060108079123
439,0.003,0.544,255.45000000000002,692.4084578944991
440,0.026,0.622,244.725,788.3813683613901
441,0.049,0.672,226.20000000000002,611.7651117272712
442,0.056,0.724,208.65,755.0283246262612
443,0.041,0.825,217.425,605.6280679921424
444,0.036,0.829,254.47500000000002,602.8439770583602
445,0.019,0.768,233.025,679.429543507855
446,0.002,0.68,186.225,835.2471882744094
447,0.0,0.697,161.85,463.2525061245778
448,0.0,0.71,150.15,752.113140608865
449,0.0,0.681,144.3,555.322637242984
450,0.0,0.729,143.32500000000002,574.2034229433207
451,0.0,0.68,132.6,450.9457229433207
452,0.0,0.595,134.55,358.3766863092018
453,0.0,0.599,129.675,353.17550687373614
454,0.0,0.581,127.72500000000001,429.366935570706
455,0.0,0.56,119.925,368.0651195987646
456,0.0,0.521,113.10000000000001,406.88076713672433
457,0.0,0.514,112.125,393.6060645268574
458,0.0,0.519,110.175,400.2616672432238
459,0.0,0.523,110.175,479.5944407185565
460,0.0,0.535,111.15,539.287540385588
461,0.0,0.556,131.625,781.6064536209819
462,0.0,0.571,180.375,721.9144456848817
463,0.008,0.561,222.3,613.2353281882491
464,0.027,0.535,272.02500000000003,693.1416168833156
465,0.068,0.489,226.20000000000002,532.5837514505827
466,0.123,0.516,205.725,761.9827773227834
467,0.116,0.538,226.20000000000002,455.9594418900506
468,0.108,0.535,229.125,592.4918444999175
469,0.07,0.54,215.475,312.5565224360178
470,0.029,0.538,174.525,702.4740230884846
471,0.0,0.556,153.07500000000002,321.8202371097845
472,0.0,0.566,147.225,437.1793365638172
473,0.0,0.563,159.9,597.3143819965501
474,0.0,0.556,156.0,520.5758800391499
475,0.0,0.55,144.3,351.9573700391498
476,0.0,0.547,129.675,271.383764606417
477,0.0,0.541,130.65,273.584517003285
478,0.0,0.54,128.70000000000002,387.74026461988694
479,0.0,0.575,118.95,385.3545152858236
480,0.0,0.612,119.925,333.88345873703514
481,0.0,0.64,115.05,414.4471889334772
482,0.0,0.666,111.15,336.53731535536394
483,0.0,0.692,111.15,393.6718708464691
